 e_lrc =   -0.00015
                   potential contributions (kcal/mol) 
  density(g/cm^3)  pot_lr   pot_sr       pot_lj      vpot    volume     e_lrc
     1.00887   -75.78579  -120.07122     0.12942    -6.62753  6404.74127    -0.00015
     1.02743   -76.49519  -120.15003     0.57699    -6.96802  6289.02488    -0.00001
     1.02788   -76.52920  -120.47639     0.62975    -7.27563  6286.30883    -0.00001
     1.02061   -76.37451  -120.98879     0.61161    -7.65148  6331.05062    -0.00001
     1.02995   -76.58358  -121.05807     0.76255    -7.77889  6273.69378    -0.00001
     1.00987   -76.11247  -121.57435     0.66468    -7.92193  6398.42658    -0.00001
     1.03060   -76.59319  -121.39565     0.86175    -8.02687  6269.69108    -0.00001
     1.02729   -76.52266  -121.58361     0.86871    -8.13734  6289.89082    -0.00001
     1.01967   -76.34571  -121.77817     0.84145    -8.18222  6336.88587    -0.00001
     1.03578   -76.75868  -121.58932     0.98849    -8.25929  6238.36875    -0.00001
     1.03668   -76.78673  -121.64608     0.92914    -8.40346  6232.91828    -0.00001
     1.05185   -77.17667  -121.50285     1.11552    -8.46379  6143.02125    -0.00001
     1.04463   -76.98900  -121.64804     1.04270    -8.49413  6185.49480    -0.00001
     1.04332   -76.98196  -121.72816     1.05451    -8.55540  6193.25931    -0.00015
     1.04538   -77.03915  -121.71823     1.11781    -8.53936  6181.05582    -0.00001
     1.06439   -77.48444  -121.52793     1.31425    -8.59806  6070.65113    -0.00016
     1.05057   -77.13136  -121.75270     1.17206    -8.61179  6150.50343    -0.00016
     1.04067   -76.89736  -121.90148     1.07123    -8.62740  6209.05948    -0.00001
     1.03451   -76.75183  -122.04376     1.05486    -8.64051  6246.02732    -0.00001
     1.04560   -77.03604  -121.88724     1.14295    -8.68013  6179.75926    -0.00001
     1.04191   -76.93500  -121.95183     1.05197    -8.73465  6201.62549    -0.00001
     1.05595   -77.27851  -121.80907     1.20148    -8.78604  6119.20925    -0.00016
     1.05495   -77.27141  -121.83942     1.18073    -8.82989  6125.01921    -0.00001
     1.05816   -77.36012  -121.84988     1.22029    -8.88950  6106.41763    -0.00001
     1.05715   -77.32178  -121.89981     1.21778    -8.90375  6112.22722    -0.00016
     1.05560   -77.28560  -121.97307     1.19870    -8.95976  6121.20221    -0.00001
     1.06420   -77.48410  -121.87138     1.31241    -8.94286  6071.77355    -0.00001
     1.05038   -77.14392  -122.10698     1.19499    -8.95570  6151.62056    -0.00001
     1.05791   -77.30915  -122.03769     1.26160    -8.98503  6107.83059    -0.00001
     1.07450   -77.72137  -121.83547     1.46776    -8.98886  6013.55584    -0.00001
     1.06700   -77.54333  -121.93126     1.35824    -9.01614  6055.79379    -0.00001
     1.06067   -77.41642  -122.05548     1.33369    -9.03799  6091.96916    -0.00001
     1.05416   -77.25809  -122.16557     1.29890    -9.02455  6129.58702    -0.00001
     1.06468   -77.50778  -122.11846     1.45243    -9.07376  6069.02269    -0.00016
     1.05747   -77.31282  -122.21059     1.38632    -9.03688  6110.39559    -0.00001
     1.05473   -77.25107  -122.27619     1.39659    -9.03045  6126.29091    -0.00016
     1.05260   -77.19609  -122.28425     1.37098    -9.00915  6138.64070    -0.00001
     1.03728   -76.82918  -122.51082     1.21181    -9.02797  6229.36082    -0.00001
     1.03510   -76.77381  -122.53766     1.16799    -9.04326  6242.45042    -0.00001
     1.04992   -77.16145  -122.34033     1.33799    -9.06372  6154.34178    -0.00016
     1.06105   -77.43013  -122.26802     1.46461    -9.13332  6089.80646    -0.00001
     1.05843   -77.37199  -122.38926     1.50686    -9.15433  6104.84218    -0.00016
     1.05566   -77.30903  -122.41701     1.46636    -9.15946  6120.89441    -0.00001
     1.04952   -77.15396  -122.57812     1.43213    -9.19974  6156.65351    -0.00001
     1.05657   -77.32356  -122.51437     1.49856    -9.23916  6115.61070    -0.00001
     1.04473   -77.02686  -122.67163     1.34231    -9.25597  6184.93286    -0.00016
     1.04657   -77.07112  -122.65074     1.35113    -9.27052  6174.01667    -0.00001
     1.04424   -77.02852  -122.68315     1.31136    -9.30009  6187.83179    -0.00001
     1.04858   -77.13991  -122.66225     1.38629    -9.31565  6162.19256    -0.00001
     1.04825   -77.13026  -122.66020     1.40765    -9.28259  6164.16438    -0.00001
     1.05024   -77.16793  -122.69340     1.44992    -9.31120  6152.44520    -0.00001
     1.05916   -77.38283  -122.59979     1.52468    -9.35773  6100.64860    -0.00001
     1.05609   -77.30448  -122.68059     1.53182    -9.35304  6118.36396    -0.00016
     1.05305   -77.22431  -122.70437     1.50940    -9.31907  6136.05094    -0.00001
     1.03635   -76.81326  -122.87599     1.29328    -9.29576  6234.92257    -0.00001
     1.03646   -76.81878  -122.83024     1.26069    -9.28812  6234.28581    -0.00001
     1.03376   -76.75020  -122.87571     1.21658    -9.30911  6250.52483    -0.00001
     1.04851   -77.11479  -122.68652     1.40615    -9.29494  6162.64110    -0.00001
     1.04324   -76.98975  -122.75851     1.31042    -9.33763  6193.76026    -0.00001
     1.05123   -77.19955  -122.67585     1.42738    -9.34780  6146.65209    -0.00001
     1.05115   -77.19257  -122.66540     1.41722    -9.34054  6147.10823    -0.00001
     1.04530   -77.04356  -122.73044     1.34972    -9.32406  6181.50848    -0.00001
     1.05553   -77.29625  -122.57501     1.46680    -9.30426  6121.59870    -0.00001
     1.04527   -77.04173  -122.69710     1.32521    -9.31355  6181.71805    -0.00016
     1.06094   -77.42579  -122.50073     1.48795    -9.33835  6090.43235    -0.00001
     1.04869   -77.12692  -122.57231     1.30816    -9.29086  6161.56489    -0.00001
     1.05602   -77.28718  -122.50126     1.41597    -9.27226  6118.79562    -0.00001
     1.05883   -77.34972  -122.44176     1.45116    -9.24011  6102.54437    -0.00001
     1.05832   -77.33539  -122.46333     1.45899    -9.23952  6105.49464    -0.00001
     1.05707   -77.32155  -122.45757     1.43545    -9.24346  6112.68146    -0.00001
     1.05435   -77.25870  -122.52010     1.41585    -9.26274  6128.50074    -0.00001
     1.05176   -77.18937  -122.50092     1.37691    -9.21317  6143.57598    -0.00001
     1.04836   -77.11253  -122.56368     1.32442    -9.25157  6163.48641    -0.00001
     1.04918   -77.12790  -122.59497     1.35077    -9.27189  6158.66006    -0.00001
     1.05612   -77.29756  -122.56430     1.43224    -9.32941  6118.18771    -0.00001
     1.06154   -77.42691  -122.53446     1.54449    -9.31667  6086.98116    -0.00001
     1.06291   -77.46609  -122.52879     1.56840    -9.32628  6079.10185    -0.00001
     1.06754   -77.58037  -122.50241     1.67375    -9.30881  6052.75082    -0.00016
     1.04257   -76.96665  -122.84806     1.36678    -9.34773  6197.72544    -0.00001
     1.04385   -76.97889  -122.81892     1.36384    -9.33376  6190.11468    -0.00001
     1.04623   -77.04299  -122.78334     1.40650    -9.31963  6176.01773    -0.00001
     1.05956   -77.37693  -122.57138     1.55513    -9.29296  6098.32610    -0.00001
     1.05238   -77.20092  -122.71496     1.46923    -9.34643  6139.93677    -0.00001
     1.06081   -77.41228  -122.64957     1.61579    -9.34585  6091.17322    -0.00001
     1.06542   -77.54032  -122.58589     1.62617    -9.39983  6064.79827    -0.00001
     1.05031   -77.17508  -122.77390     1.45079    -9.39798  6152.06579    -0.00001
     1.05752   -77.35588  -122.61715     1.53009    -9.34272  6110.11269    -0.00001
     1.05569   -77.31628  -122.61013     1.50693    -9.31927  6120.67796    -0.00001
     1.06691   -77.57486  -122.51254     1.65794    -9.32925  6056.31848    -0.00001
     1.05718   -77.34537  -122.56582     1.48744    -9.32369  6112.08609    -0.00016
     1.04491   -77.04758  -122.78843     1.35566    -9.38013  6183.85197    -0.00001
     1.06123   -77.44066  -122.54662     1.50608    -9.38100  6088.73895    -0.00001
     1.04622   -77.07701  -122.76457     1.34228    -9.39909  6176.10537    -0.00001
     1.04660   -77.08878  -122.73882     1.36422    -9.36333  6173.87419    -0.00016
     1.05246   -77.22887  -122.69176     1.43208    -9.38833  6139.48310    -0.00001
     1.04989   -77.17403  -122.74392     1.43881    -9.37893  6154.51814    -0.00001
     1.04763   -77.11722  -122.76470     1.41747    -9.36439  6167.80870    -0.00016
