  intend    ps    actual    win#
  3.0000 240.4000   3.0001   0
  3.1000 184.8000   3.1010   1
  3.2000 148.0000   3.2008   2
  3.3000  93.2000   3.3001   3
  3.4000  32.8000   3.3996   4
  3.5000   6.0000   3.5004   5
  3.6000   4.8000   3.5198   6
  3.7000   0.0000   0.0000   7
  3.8000   0.0000   0.0000   8
  3.9000   0.0000   0.0000   9
  4.0000   0.0000   0.0000  10
  4.1000   0.0000   0.0000  11
  4.2000   0.0000   0.0000  12
  4.3000   0.0000   0.0000  13
  4.4000   0.0000   0.0000  14
  4.5000   0.0000   0.0000  15
  4.6000   0.0000   0.0000  16
  4.7000   0.0000   0.0000  17
  4.8000   0.0000   0.0000  18
  4.9000   0.0000   0.0000  19
  5.0000   0.0000   0.0000  20
  5.1000   0.0000   0.0000  21
  5.2000   0.0000   0.0000  22
  5.3000   0.0000   0.0000  23
  5.4000   0.0000   0.0000  24
  5.5000   0.0000   0.0000  25
  5.6000   0.0000   0.0000  26
  5.7000   0.0000   0.0000  27
  5.8000   0.0000   0.0000  28
  5.9000   0.0000   0.0000  29
  6.0000   0.0000   0.0000  30
