Surf   0 Ave ret.time  24.880 ns, #hopping 1 
Surf   1 Ave ret.time  49.960 ns, #hopping 0 
Surf   2 Ave ret.time  49.960 ns, #hopping 0 
Surf   3 Ave ret.time  49.960 ns, #hopping 0 
Surf   4 Ave ret.time  11.920 ns, #hopping 3 
Surf   5 Ave ret.time  12.110 ns, #hopping 3 
Surf   6 Ave ret.time  49.920 ns, #hopping 0 
Surf   7 Ave ret.time  49.960 ns, #hopping 0 
Surf   8 Ave ret.time  49.960 ns, #hopping 0 
Surf   9 Ave ret.time  49.960 ns, #hopping 0 
Surf  10 Ave ret.time  49.960 ns, #hopping 0 
Surf  11 Ave ret.time  49.960 ns, #hopping 0 
Surf  12 Ave ret.time  49.960 ns, #hopping 0 
Surf  13 Ave ret.time  16.627 ns, #hopping 2 
Surf  14 Ave ret.time  49.960 ns, #hopping 0 
Surf  15 Ave ret.time   5.780 ns, #hopping 7 
Surf  16 Ave ret.time  49.960 ns, #hopping 0 
Surf  17 Ave ret.time  49.960 ns, #hopping 0 
Surf  18 Ave ret.time  49.960 ns, #hopping 0 
Surf  19 Ave ret.time  12.230 ns, #hopping 3 
Surf  20 Ave ret.time  49.960 ns, #hopping 0 
Surf  21 Ave ret.time  49.960 ns, #hopping 0 
Surf  22 Ave ret.time  49.960 ns, #hopping 0 
Surf  23 Ave ret.time  24.440 ns, #hopping 1 
Surf  24 Ave ret.time  49.960 ns, #hopping 0 
Surf  25 Ave ret.time  49.960 ns, #hopping 0 
Surf  26 Ave ret.time  11.770 ns, #hopping 3 
Surf  27 Ave ret.time  49.960 ns, #hopping 0 
Surf  28 Ave ret.time  11.970 ns, #hopping 3 
Surf  29 Ave ret.time  49.960 ns, #hopping 0 
Surf  30 Ave ret.time  24.920 ns, #hopping 1 
Surf  31 Ave ret.time  49.960 ns, #hopping 0 
Surf  32 Ave ret.time  16.480 ns, #hopping 2 
Surf  33 Ave ret.time  49.960 ns, #hopping 0 
Surf  34 Ave ret.time  49.960 ns, #hopping 0 
Surf  35 Ave ret.time  11.750 ns, #hopping 3 
Surf  36 Ave ret.time  49.960 ns, #hopping 0 
Surf  37 Ave ret.time  49.960 ns, #hopping 0 
Surf  38 Ave ret.time  49.960 ns, #hopping 0 
Surf  39 Ave ret.time  49.960 ns, #hopping 0 
Surf  40 Ave ret.time  11.940 ns, #hopping 3 
Surf  41 Ave ret.time  49.960 ns, #hopping 0 
Surf  42 Ave ret.time  49.960 ns, #hopping 0 
Surf  43 Ave ret.time  49.960 ns, #hopping 0 
Surf  44 Ave ret.time  49.960 ns, #hopping 0 
Surf  45 Ave ret.time  49.960 ns, #hopping 0 
Surf  46 Ave ret.time  49.960 ns, #hopping 0 
Surf  47 Ave ret.time  49.960 ns, #hopping 0 
Surf  48 Ave ret.time  15.853 ns, #hopping 2 
Surf  49 Ave ret.time  49.960 ns, #hopping 0 
Surf  50 Ave ret.time  49.960 ns, #hopping 0 
Surf  51 Ave ret.time  49.960 ns, #hopping 0 
Surf  52 Ave ret.time  49.960 ns, #hopping 0 
Surf  53 Ave ret.time  49.960 ns, #hopping 0 
Surf  54 Ave ret.time  49.960 ns, #hopping 0 
Surf  55 Ave ret.time  49.960 ns, #hopping 0 
Surf  56 Ave ret.time  49.960 ns, #hopping 0 
Surf  57 Ave ret.time  49.960 ns, #hopping 0 
Surf  58 Ave ret.time  49.960 ns, #hopping 0 
Surf  59 Ave ret.time  24.380 ns, #hopping 1 
Surf  60 Ave ret.time  49.760 ns, #hopping 0 
Surf  61 Ave ret.time  49.960 ns, #hopping 0 
Surf  62 Ave ret.time  24.840 ns, #hopping 1 
Surf  63 Ave ret.time  49.960 ns, #hopping 0 
Surf  64 Ave ret.time  49.960 ns, #hopping 0 
Surf  65 Ave ret.time  49.960 ns, #hopping 0 
Surf  66 Ave ret.time  49.960 ns, #hopping 0 
Surf  67 Ave ret.time  49.960 ns, #hopping 0 
Surf  68 Ave ret.time  49.960 ns, #hopping 0 
Surf  69 Ave ret.time  49.960 ns, #hopping 0 
Surf  70 Ave ret.time  12.240 ns, #hopping 3 
Surf  71 Ave ret.time  24.460 ns, #hopping 1 
Surf  72 Ave ret.time   7.667 ns, #hopping 5 
Surf  73 Ave ret.time  49.960 ns, #hopping 0 
Surf  74 Ave ret.time  49.960 ns, #hopping 0 
Surf  75 Ave ret.time  24.040 ns, #hopping 1 
Surf  76 Ave ret.time  49.960 ns, #hopping 0 
Surf  77 Ave ret.time  49.960 ns, #hopping 0 
Surf  78 Ave ret.time  49.960 ns, #hopping 0 
Surf  79 Ave ret.time  22.460 ns, #hopping 1 
Surf  80 Ave ret.time  49.960 ns, #hopping 0 
Surf  81 Ave ret.time  49.960 ns, #hopping 0 
Surf  82 Ave ret.time  49.960 ns, #hopping 0 
Surf  83 Ave ret.time   7.447 ns, #hopping 5 
Surf  84 Ave ret.time  49.960 ns, #hopping 0 
Surf  85 Ave ret.time   9.136 ns, #hopping 4 
Surf  86 Ave ret.time  23.800 ns, #hopping 1 
Surf  87 Ave ret.time  49.960 ns, #hopping 0 
Surf  88 Ave ret.time  24.320 ns, #hopping 1 
Surf  89 Ave ret.time  15.627 ns, #hopping 2 
Surf  90 Ave ret.time  49.960 ns, #hopping 0 
Surf  91 Ave ret.time  49.960 ns, #hopping 0 
Surf  92 Ave ret.time  49.960 ns, #hopping 0 
Surf  93 Ave ret.time  49.960 ns, #hopping 0 
Surf  94 Ave ret.time  49.960 ns, #hopping 0 
Surf  95 Ave ret.time  49.960 ns, #hopping 0 
Surf  96 Ave ret.time  24.900 ns, #hopping 1 
Surf  97 Ave ret.time  49.960 ns, #hopping 0 
Surf  98 Ave ret.time  49.960 ns, #hopping 0 
Surf  99 Ave ret.time  49.960 ns, #hopping 0 
Surf 100 Ave ret.time  49.960 ns, #hopping 0 
Surf 101 Ave ret.time  49.960 ns, #hopping 0 
